Time Detect LP,Time Detect Face,Total
0.076,2.435,2.51
0.08,2.418,2.497
0.081,2.385,2.466
0.077,2.373,2.45
0.078,2.406,2.484
0.076,2.382,2.459
0.076,2.405,2.481
0.084,2.388,2.472
0.082,2.37,2.453
0.078,2.417,2.494
0.083,2.382,2.465
0.083,2.37,2.453
0.077,2.372,2.448
0.08,2.418,2.498
0.077,2.416,2.493
0.077,3.129,3.205
0.079,2.401,2.481
0.084,2.352,2.436
0.078,2.387,2.465
0.078,2.426,2.504
0.086,2.398,2.483
0.078,2.386,2.463
0.077,2.532,2.61
0.078,2.448,2.526
0.087,2.428,2.515
0.078,2.423,2.5
0.084,2.435,2.519
0.077,2.503,2.58
0.08,2.425,2.505
0.078,2.424,2.502
0.08,2.414,2.495
0.086,2.427,2.513
0.086,2.409,2.495
0.083,2.408,2.491
0.081,2.424,2.505
0.078,2.439,2.518
0.085,2.431,2.516
0.079,2.4,2.479
0.079,2.398,2.477
0.078,2.405,2.483
0.081,2.405,2.486
0.081,2.442,2.523
0.081,2.44,2.52
0.084,2.453,2.537
0.08,2.423,2.503
0.079,2.455,2.534
0.08,2.399,2.479
0.087,2.429,2.516
0.078,2.417,2.496
0.079,2.416,2.495
0.08,2.4,2.479
0.081,2.413,2.494
0.086,2.41,2.496
0.079,2.47,2.548
0.079,2.465,2.544
0.08,2.401,2.48
0.08,2.393,2.473
0.078,2.426,2.504
0.079,2.432,2.51
0.08,2.439,2.519
0.081,2.42,2.501
0.08,2.408,2.488
0.082,2.402,2.484
0.085,2.459,2.545
0.08,2.495,2.574
0.08,2.484,2.564
0.078,2.437,2.515
0.08,2.396,2.476
0.08,2.4,2.48
0.078,2.372,2.449
0.081,2.44,2.521
0.079,2.447,2.526
0.087,2.413,2.5
0.078,2.427,2.505
0.078,2.416,2.493
0.086,2.438,2.523
0.082,2.461,2.542
0.087,2.467,2.554
0.08,2.423,2.502
0.081,2.43,2.512
0.086,2.45,2.536
0.079,2.419,2.499
0.083,2.425,2.508
0.08,2.461,2.54
0.086,2.452,2.538
0.08,2.44,2.52
0.086,2.404,2.491
0.084,2.451,2.535
0.081,2.441,2.521
0.089,2.469,2.558
0.081,2.456,2.537
0.08,2.45,2.53
0.082,2.441,2.524
0.08,2.431,2.511
0.081,2.406,2.487
0.08,2.424,2.505
0.085,2.386,2.471
0.079,2.408,2.487
0.081,2.411,2.492
0.087,2.442,2.529
0.079,2.423,2.501
0.086,2.423,2.508
0.09,2.448,2.537
